ID,NAME,TYPE,PARENTID,BILLINGSTREET,BILLINGCITY,BILLINGSTATE,BILLINGPOSTALCODE,BILLINGCOUNTRY,PHONE,ACCOUNTNUMBER,WEBSITE,ANNUALREVENUE,INDUSTRY
0011N00001CTXpEQAX,"Physicians Total Care, Inc.",Customer - Direct,,Little Fleur,Santa Barbara,California,93150,United States,805-523-1053,684155979,http://loc.gov/nulla/suscipit/ligula/in.png,,Education
0011N00001CTXpFQAX,Cardinal Health,Customer - Channel,,Division,Battle Creek,Michigan,49018,United States,269-854-3051,818530319,https://cyberchimps.com/blandit/non/interdum/in/ante/vestibulum/ante.html,5.00E+07,Consulting
0011N00001CTXpGQAX,"Premier Value (Chain Drug Consortium, LLC)",Customer - Channel,,Toban,Brooklyn,New York,11247,United States,212-236-3732,321620075,,9.50E+08,Transportation
0011N00001CTXpHQAX,Wal-Mart Stores Inc,Customer - Channel,,Burrows,Baltimore,Maryland,21265,United States,410-714-9759,589868188,http://w3.org,9.50E+08,Construction
0011N00001CTXpIQAX,Cardinal Health (Leader),Customer - Direct,,Jackson,Portland,Oregon,97229,United States,971-296-3077,400929698,http://bluehost.com,,Energy
0011N00001CTXpJQAX,"Geiss, Destin & Dunn, Inc (Goodsense)",,,Toban,Miami,Florida,33124,United States,786-358-6371,629236139,,,
0011N00001CTXpLQAX,Valeant Pharmaceuticals North America LLC,Customer - Direct,,Knutson,Alpharetta,Georgia,30022,United States,404-133-7414,281328816,,3.50E+08,Energy
0011N00001CTXpNQAX,"APP Pharmaceuticals, LLC",Customer - Direct,,Myrtle,Spring,Texas,77388,United States,713-248-2437,962970572,,1.39E+08,Apparel
0011N00001CTXpOQAX,ALA Med dba Pulmonary Care Services,Customer - Direct,,Sugar,Fresno,California,93740,United States,559-204-5216,636757408,,5.00E+08,Energy
0011N00001CTXpPQAX,"Preferred Pharmaceuticals, Inc.",Customer - Channel,,Mockingbird,Charlotte,North Carolina,28225,United States,704-885-6734,850549603,,3.00E+07,Electronics
0011N00001CTXpQQAX,Cadila Healthcare Limited,Customer - Direct,,Park Meadow,Corpus Christi,Texas,78405,United States,361-795-7311,793863095,https://ask.com,,Hospitality
0011N00001CTXpRQAX,"Henry Schein, Inc.",Customer - Direct,,Vahlen,Las Vegas,Nevada,89155,United States,702-383-6074,760026150,http://digg.com,,Biotechnology
0011N00001CTXpSQAX,Mylan Institutional Inc.,Customer - Direct,,Mesta,Richmond,Virginia,23285,United States,804-823-0884,815379419,https://time.com,,
0011N00001CTXpTQAX,State of Florida DOH Central Pharmacy,Customer - Channel,,Packers,Buffalo,New York,14269,United States,716-662-9302,257160704,,,
0011N00001CTXpUQAX,South Jersey Welding Supply,Customer - Direct,,Columbus,El Paso,Texas,79928,United States,915-956-4234,273012125,http://sphinn.com,,
0011N00001CTXpVQAX,Camber Pharmaceuticals Inc.,Customer - Direct,,Grim,Tyler,Texas,75705,United States,903-378-7182,119868126,https://shinystat.com,,
0011N00001CTXpWQAX,"Antigen Laboratories, Inc.",Customer - Direct,,Bartelt,Hamilton,Ohio,45020,United States,937-817-5411,63174121,https://adobe.com,,
0011N00001CTXpXQAX,Rebel Distributors Corp,Customer - Channel,,Warrior,Cleveland,Ohio,44191,United States,216-254-8774,247761008,http://canalblog.com,,
